freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20146470,Enzymes; prepared enzymes (not elsewhere specified or included) (excluding rennet and concentrates),293982025,2019,KG,144292618,2019,KG,43819180,2019,KG
A,EU27_2020,20147120,Activated natural mineral products; animal black,523885483,2019,KG,409343811,2019,KG,106815558,2019,KG
A,EU27_2020,20147130,Tall oil; whether or not refined,469115316,2019,KG,8733854,2019,KG,110153310,2019,KG
A,EU27_2020,20147140,"Gum, wood or sulphate turpentine oils, pine oil and other alike",45275799,2019,KG,20418938,2019,KG,5229265,2019,KG
A,EU27_2020,20147150,Rosin and resin acids; and derivatives; rosin spirit and oils; run gums,354390361,2019,KG,68537790,2019,KG,98766348,2019,KG
A,EU27_2020,20147170,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers’ pitch and similar preparations based on rosin, resin acids or on vegetable pitch",147915190,2019,KG,2169576,2019,KG,95312026,2019,KG
A,EU27_2020,20147200,Wood charcoal whether or not agglomerated (including shell or nut charcoal),240000000,2019,KG,55481003,2019,KG,689935809,2019,KG
A,EU27_2020,20147320,"Benzol (benzene), toluol (toluene) and xylol (xylenes)",1782934741,2019,KG,242858564,2019,KG,311323634,2019,KG
A,EU27_2020,20147340,"Naphthalene and other aromatic hydrocarbon mixtures (excluding benzene, toluene, xylene)",3857631585,2019,KG,1609435284,2019,KG,2479688162,2019,KG
A,EU27_2020,20147360,Phenols,98799300,2019,KG,2887030,2019,KG,733352,2019,KG
A,EU27_2020,20147390,"Other oils and oil products, n.e.c.",2320000000,2019,KG,11340024043,2019,KG,7099883514,2019,KG
A,EU27_2020,20147400,Undenatured ethyl alcohol of an alcoholic strength by volume >= 80 % (important: excluding alcohol duty),4872416900,2019,L,732921818,2019,L,970013659,2019,L
A,EU27_2020,20147500,Denatured ethyl alcohol and other denatured spirits; of any strength,1143715201,2019,L,83954545,2019,L,230363051,2019,L
